date,vehicle_category,manufacturer,registrations
2023-01-01,2W,E-GURU AUTO ENERGY,556.0
2023-01-01,2W,E-MOTION AUTOMOTIVE INDUSTRY LLP,1259.0
2023-01-01,2W,E-SPRINTO GREEN ENERGY PVT LTD,565.0
2023-01-01,2W,EAGLE AUTO PEARL PVT,297.0
2023-01-01,2W,EBUZZ MOBILITY LLP,331.0
2023-01-01,2W,ECO DYNAAMIC EQUIPMENTS,446.0
2023-01-01,2W,ECO FUEL SYSTEMS (I) PVT LTD,1490.0
2023-01-01,2W,ECO SMART VEHICLES PVT LTD,2791.0
2023-01-01,2W,ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,301.0
2023-01-01,2W,ECOYAN ELECTRIC MOTOR VEHICLES PVT LTD,316.0
2023-01-01,2W,EDMRC MANNSCHAFT LLP,481.0
2023-01-01,2W,EEVEE ENGINEERING PVT LTD,306.0
2023-01-01,2W,EFEV CHARGING SOLUTION PVT LTD,1357.0
2023-01-01,2W,EICHER MOTORS LTD,371.0
2023-01-01,2W,EICHER TRACTORS,113622.0
2023-01-01,2W,EIMCO ELECON,315.0
2023-01-01,2W,ELECTRA INTERNATIONAL,324.0
2023-01-01,2W,ELECTRECA VEHICLES,457.0
2023-01-01,2W,ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),398.0
2023-01-01,2W,ELECTROTECH TRANSMISSION PVT LTD,315.0
2023-01-01,2W,ELECTROTHERM (INDIA) LIMITED,322.0
2023-01-01,2W,ELEPHANTA INDUSTRIES PVT LTD,337.0
2023-01-01,2W,ELITE AUTO ENGINEERS PVT LTD,2716.0
2023-01-01,2W,ELSA CONCRETING MACHINERY INDIA PVT LTD,343.0
2023-01-01,2W,ELTHOR ENERGY PRIVATE LIMITED,778.0
2023-01-01,2W,ENERGY ELECTRIC VEHICLES,22488.0
2023-01-01,2W,ENGINIA VEHICLES PVT LTD,697.0
2023-01-01,2W,ENGTIAN ELECTRIC BIKE PVT LTD,1266.0
2023-01-01,2W,ENIGMA AUTOMOBILES PVT LTD,327.0
2023-01-01,2W,ENTICE IMPEX PVT LTD,1500.0
2023-01-01,2W,EPOWER VEHICLES PVT LTD,387.0
2023-01-01,2W,ERISHA E MOBILITY PVT LTD,438.0
2023-01-01,2W,ESCORTS CONSTRUCTION EQUIPMENT LTD,572.0
2023-01-01,2W,ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),181755.0
2023-01-01,2W,ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT),10352.0
2023-01-01,2W,ESCORTS R&D CENTRE,425.0
2023-01-01,2W,ESCORTS TRACTORS LTD,340.0
2023-01-01,2W,ESSAR ENGINEERING,376.0
2023-01-01,2W,ETRIO AUTOMOBILES PVT LTD,503.0
2023-01-01,2W,EULER MOTORS PVT LTD,5532.0
2023-01-01,2W,EVAGE AUTOMOTIVE PVT LTD,425.0
2023-01-01,2W,EVBHARAT RANGE PRIVATE LIMITED,400.0
2023-01-01,2W,EVCO AUTOMOBILES PVT LTD,367.0
2023-01-01,2W,EVERVE MOTORS PVT LTD,342.0
2023-01-01,2W,EVEX AUTO INDIA PVT LTD,673.0
2023-01-01,2W,EVTRIC MOTORS PVT LTD,1422.0
2023-01-01,2W,EXERVAL PVT LTD,509.0
2023-01-01,2W,EXIDE INDUSTRIES LTD,5102.0
2023-01-01,2W,EXTRA FAST SOLUTIONS,1573.0
2023-01-01,2W,EXTREME MOTORS,782.0
2023-01-01,2W,FARMTECH AGRO INDUSTRIES,367.0
2023-01-01,2W,FCA INDIA AUTOMOBILES PRIVATE LIMITED,15010.0
2023-01-01,2W,FEDE INDUSTRIES PVT LTD,2149.0
2023-01-01,2W,FERRARI INDIA PRIVATE LIMITED,400.0
2023-01-01,2W,FERRARI SPA,397.0
2023-01-01,2W,FERRARI SPA (IMPORTER:SELECT CARS P LTD),354.0
2023-01-01,2W,FIADO INDUSTRIES PVT LTD,565.0
2023-01-01,2W,FIELDTRACK EARTHMOVERS PVT LTD,534.0
2023-01-01,2W,FINE EQUIPMENTS INDIA PVT LTD,367.0
2023-01-01,2W,FIRST CHOICE ELECTRIC VEHICLES PVT LTD,1448.0
2023-01-01,2W,FITWEL MOBILITY PVT LTD,391.0
2023-01-01,2W,FIVE ELEMENTS,598.0
2023-01-01,2W,FONEX LTD,361.0
2023-01-01,2W,FORCE MOTORS LIMITED,51960.0
2023-01-01,2W,FORD INDIA PVT LTD,455.0
2023-01-01,2W,FRIENDS AGRO INDUSTRIES,382.0
2023-01-01,2W,FSTMOTO (IMPORTER: AUTOICARE INNOVATION),477.0
2023-01-01,2W,FUJIYAMA POWER INFRA PVT. LTD.,396.0
2023-01-01,2W,G & G AUTOMOTIVE,3237.0
2023-01-01,2W,G. M. VEHICLE INDUSTRIES,393.0
2023-01-01,2W,G.K E-VEHICLS INDUSTRIES PVT LTD,532.0
2023-01-01,2W,G.K. RICKSHAW PVT LTD,11414.0
2023-01-01,2W,GAGAN AUTOMOTIVES,1131.0
2023-01-01,2W,GAHIR AGRICULTURAL INDUSTRIES,442.0
